wavelength_m,wavelength_um,frequency_Hz,wavelength_nm,sun_5778K_W_m2_sr_m,sun_5778K_normalized,sun_6000K_W_m2_sr_m,sun_6000K_normalized,sun_5500K_W_m2_sr_m,sun_5500K_normalized,earth_300K_W_m2_sr_m,earth_300K_normalized,earth_288K_W_m2_sr_m,earth_288K_normalized,hot_star_10000K_W_m2_sr_m,hot_star_10000K_normalized,cool_planet_200K_W_m2_sr_m,cool_planet_200K_normalized
1.0931819736241653e-08,0.010931819736241653,2.742383841238387e+16,10.931819736241653,9.058936824309777e-76,3.4345149226934564e-89,4.143015737147499e-72,1.300873190044659e-85,9.05416769401794e-81,4.3924956495236903e-94,0.0,0.0,0.0,0.0,5.289029616119529e-34,1.2913705462642368e-48,0.0,0.0
1.0965455693764002e-08,0.010965455693764002,2.733971723313701e+16,10.965455693764001,1.794132574719733e-75,6.802095235535382e-89,7.995880448609955e-72,2.5106413217634937e-85,1.8576494888269585e-80,9.012111961879635e-94,0.0,0.0,0.0,0.0,7.798972315840408e-34,1.9041986660675336e-48,0.0,0.0
1.0999195145275983e-08,0.010999195145275984,2.7255854091174764e+16,10.999195145275984,3.5456921011181357e-75,1.3442783263359832e-88,1.5399961292207645e-71,4.8354623886974635e-85,3.802779557072999e-80,1.8448623026473048e-93,0.0,0.0,0.0,0.0,1.1485791686526837e-33,2.8043732330978476e-48,0.0,0.0
1.1033038409216773e-08,0.011033038409216774,2.7172248194981316e+16,11.033038409216774,6.992291923603378e-75,2.650987794837007e-88,2.9599157115490773e-71,9.29389420228763e-85,7.767185332108336e-80,3.768135176342194e-93,0.0,0.0,0.0,0.0,1.68946157477193e-33,4.12499281542378e-48,0.0,0.0
1.1066985805005284e-08,0.011066985805005284,2.7088898755468932e+16,11.066985805005285,1.3759826974234345e-74,5.216763511350411e-88,5.677382796949281e-71,1.7826519469745236e-84,1.582903046094012e-79,7.679220198428068e-93,0.0,0.0,0.0,0.0,2.481996547551564e-33,6.060047816085395e-48,0.0,0.0
1.1101037653043332e-08,0.011101037653043332,2.700580498597015e+16,11.101037653043333,2.701992389756797e-74,1.024406435722212e-87,1.0867480320759025e-70,3.4123002878929294e-84,3.218667185919128e-79,1.5614888181003482e-92,0.0,0.0,0.0,0.0,3.641842320704346e-33,8.891929613634258e-48,0.0,0.0
1.1135194274718483e-08,0.011135194274718483,2.6922966102230784e+16,11.135194274718483,5.2946325660439795e-74,2.0073541642832152e-87,2.075984579338258e-70,6.518422457324915e-84,6.530281650054837e-79,3.168069634603945e-92,0.0,0.0,0.0,0.0,5.337155412944812e-33,1.3031209506004605e-47,0.0,0.0
1.1169455992407243e-08,0.011169455992407243,2.6840381322402136e+16,11.169455992407244,1.0353111908337282e-73,3.9251755515150057e-87,3.957643544598638e-70,1.2426678317341833e-83,1.321979737639804e-78,6.413389328074668e-92,0.0,0.0,0.0,0.0,7.812120528790019e-33,1.9074089364141753e-47,0.0,0.0
1.1203823129478034e-08,0.011203823129478034,2.675804986703381e+16,11.203823129478033,2.0201898216263748e-73,7.65914612676181e-87,7.529553575904224e-70,2.3642184827042517e-83,2.6702854169434484e-78,1.295449507154601e-91,0.0,0.0,0.0,0.0,1.1420891895846347e-32,2.7885272870119966e-47,0.0,0.0
1.1238296010294178e-08,0.011238296010294177,2.6675970959066464e+16,11.238296010294176,3.933710911460032e-73,1.4913879066598909e-86,1.4296327179947299e-69,4.4889302682941015e-83,5.381873846392042e-78,2.6109365604285365e-91,0.0,0.0,0.0,0.0,1.667649300533573e-32,4.0717359223018262e-47,0.0,0.0
1.1272874960217117e-08,0.011272874960217116,2.6594143823824156e+16,11.272874960217116,7.643715042589423e-73,2.8979618566431566e-86,2.7089757631363093e-69,8.505963207301555e-83,1.082318851397482e-77,5.250709956810193e-91,0.0,0.0,0.0,0.0,2.432118126197924e-32,5.938264561111857e-47,0.0,0.0
1.1307560305609297e-08,0.011307560305609296,2.6512567689007428e+16,11.307560305609297,1.4821805429383654e-72,5.6193914270238535e-86,5.122875871755738e-69,1.6085412898001848e-82,2.1718295551065705e-77,1.0536310122260566e-90,0.0,0.0,0.0,0.0,3.5427576699733407e-32,8.650004328982934e-47,0.0,0.0
1.134235237383742e-08,0.01134235237383742,2.643124178468564e+16,11.34235237383742,2.8681051988623523e-72,1.0873847887881667e-85,9.668370704643558e-69,3.0357896370781316e-82,4.348585157730956e-77,2.1096518236056728e-90,0.0,0.0,0.0,0.0,5.154382903047942e-32,1.2584951774287127e-46,0.0,0.0
